xmtr_id,freq,lat,lon,pwr,lontn,lattn 
DHO,(23.40Khz),53.1,7.6,800,10.08,36.5
GQD,(22.10Khz),52.918,-3.28,100,10.08,36.5
JXN,(16.4Khz),66.975,13.883,50,10.08,36.5
HWU,(18.30Khz),46.713,1.25,400,10.08,36.5
HWV,(21.175Khz),48.544,2.576,400,10.08,36.5
NWC,(19.8Khz),-21.8,114.15,1000,10.08,36.5
NPM,(21.4Khz),21.417,-158.15,630,10.08,36.5
NAA,(24.0Khz),44.65,-67.28,1000,10.08,36.5
NLK,(24.8Khz),48.2,-121.917,130,10.08,36.5
NAU,(28.5Khz),18.6,-67.178,1,10.08,36.5
NRK,(37.50Khz),65,-18,200,10.08,36.5
ICV,(20.27Khz),40.92,9.73,50,10.08,36.5
NSC,(45.9Khz),37.12,14.43,XX,10.08,36.5
TBB,(26.7Khz),37.41,27.32,XX,10.08,36.5
